community_id,size,mean_tweet_polarity,polarity_variance,semantic_cohesion,topic_keywords,norm_cohesion,norm_var,polarization_index
3584,73,0.0211301369863013,0.0158859388177894,0.7302221655845642,"trump, important, updates, magamemascoin, sincerely, maga, memecoin, administration, holders, make",0.49406175705277827,0.930761927195396,0.5786509125549127
19279,8,-0.0654875,0.01291173859375,0.4916844964027405,"spotterbrett, biden, hackermcduffer, might, kinda, funny, watch, shit, his, pants",0.04272220806912968,0.9457569026206754,0.4462480429448741
18611,7,0.0323285714285714,0.0062708191836734,0.4707164764404297,"biden, grants, politico, reporting, some, joe, biggest, donors, also, funding",0.003048404324297019,0.9792383147160973,0.4410421842405087
4132,7,-0.0422857142857142,0.0107284897959183,0.48913106322288513,"biden, joe, para, presidente, estados, unidos, que, las, afpespanol, del",0.0378908311897097,0.9567641514959022,0.44700007965609345
6485,6,-0.02075,0.0021528125,0.5343669652938843,"drpenking, biden, fell, did, camera, switch, off, kachiucheagwu, accidents, occur",0.12348214139502037,1.0,0.4813246424185062
1849,5,-0.33708,0.1735602135999999,0.4691053628921509,"hate, dem, maryschmidt, gop, carter, start, clinton, recieved, among, base",0.0,0.13581817846993172,0.2714436356939864
17126,5,0.14808,0.0188941056,0.5972671508789062,"emilybwebb, conservative, don, lot, becoming, less, age, feeling, uncommon, yeah",0.2424962220234851,0.9155957031430262,0.5001480072356508
7483,4,-0.148,0.0219039999999999,0.5232506394386292,"aristeguionline, como, sentenciado, con, biden, estado, tenemos, luz",0.10244882822869708,0.9004207689890011,0.4550988022664094
14577,4,-0.16455,0.0271361075,0.5405983924865723,"his, jeremykonyndyk, biden, own, communist, beliefs, obsession, beginning, suspect, netanyahu",0.13527268813893292,0.8740421402905043,0.4596702344997808
13758,4,-0.148,0.0219039999999999,0.5551813244819641,"hablemosenoff, biden, presidente, era, mejor, candidato, tengo, que, sigue, siendo",0.1628652020267181,0.9004207689890011,0.47322371440581573
19136,4,0.253575,0.069839061875,0.4814870357513428,"biden, doing, vote, november, clear, shown, tremendous, lack, moral, clarity",0.023427489096789485,0.6587473708716889,0.38305772090337464
11715,4,-0.446875,0.200499266875,0.5075016021728516,"his, biden, isisfrog, coming, genuinely, think, trump, threat, democracy, vance",0.0726499147034518,5.041683293072197e-09,0.26607497541937225
17509,4,-0.075875,0.0085358668749999,0.5355406999588013,"blame, zionist, entity, crushed, turned, distant, monstrous, memory, like, nazis",0.1257029766874383,0.9678186617303954,0.47555462535231063
5245,3,-0.2315666666666666,0.0304770422222222,0.5592291951179504,"policy, biden, china, too, administration, adopts, cautious, coexistence, toward, communist",0.17052421921027927,0.8571982056917956,0.46687690690144296
13224,3,-0.2589999999999999,0.0368352266666666,0.48939570784568787,"biden, after, drops, kams, polling, isn, going, magically, rebound, then",0.03839156797105926,0.8251422537342805,0.42082592113817396
12412,3,-0.2460333333333333,0.0319900155555555,0.5731531381607056,"biden, been, his, perception, matters, gives, minute, word, salad, people",0.19686985340108226,0.8495702733928653,0.4732550106988978
11354,3,-0.5661,0.1625434866666666,0.5815762281417847,"cannot, biden, must, turn, narrative, around, then, win, wrdcsc, been",0.21280726758873886,0.19136102602173055,0.3463943854809678
11377,3,0.3011666666666666,0.0508168822222222,0.5139922499656677,"biden, popular, vote, margin, flips, gets, trump, winwithjmc, fair, clearly",0.08493093538026734,0.7546511752367019,0.42068951566142065
9765,3,-0.3379333333333332,0.0573608288888888,0.5906800031661987,"que, biden, del, votaron, por, armandoreporta, quisiera, tomar, ahorita, relevo",0.23003261286716392,0.7216586689965758,0.45762151765946435
9246,3,-0.1973666666666666,0.0217078822222222,0.6023727059364319,"primary, biden, job, competitive, first, zach, appreciate, response, here, run",0.25215649465412915,0.901409532702509,0.5002088549367406
17145,3,0.0833333333333333,0.0138888888888888,0.4828222095966339,"conservative, ontario, bcbluecon, pitiful, definition, apparently, ford, purple, best, possible",0.025953785103686094,0.9408304203536171,0.44023221960182934
16999,3,0.3511333333333333,0.0616473088888888,0.9976158142089844,"donald, trump, fini, par, avoir, une, relation, sexuelle, avec, lui",0.9999999981078899,0.700047594617173,0.6842895183558015
