community_id,size,mean_sentiment,sentiment_variance
71,57,-0.3124054046837907,0.16860525176226784
3649,12,-0.18431252241134644,0.10425227992148105
2347,15,-0.23324259718259174,0.10388045846122565
975,34,0.008471272447529961,0.10193397954025521
304,36,-0.4431617632508278,0.20502821220541914
23,322,-0.3596227076830146,0.2398814959738408
91,69,-0.40924708048502606,0.14625169171148067
7720,4,-0.3288451135158539,0.12131970842173256
17,205,-0.3980981457887626,0.20994282416742222
15,563,-0.18143447120649142,0.20895246671405895
15541,1,0.1956081986427307,0.0
10,466,-0.46548545079969283,0.18307216836512877
3238,15,-0.23582067489624023,0.14447146973068065
3242,15,-0.11061632434527079,0.058934106739940754
581,26,-0.15973825552142584,0.1428049661332566
1809,19,-0.14924748163474233,0.07818595176246874
13,478,-0.3583145576322677,0.2430420121928714
3720,11,-0.17980550839142365,0.09323401929439953
102,85,-0.513265019392266,0.15407769838640895
6308,7,-0.0893887962613787,0.04794214138234963
89,83,-0.15871038970099874,0.2158522031741962
1005,33,-0.10013397760463483,0.07969476506733644
1129,32,-0.0008330605924129486,0.056346966539903655
11412,3,0.4560719132423401,0.11675168712414319
137,66,-0.4218529090285301,0.15137353205431117
57,143,-0.16124151391791297,0.26270997275353686
1984,18,-0.17651882519324621,0.10043097997487123
52,135,-0.2640740845490385,0.25393095189857784
2,853,-0.25330669149878715,0.20379896777755782
848,25,-0.12732334464788436,0.1806332305527785
208,48,-0.32471346482634544,0.16650350976907477
329,52,-0.390657982072578,0.13772441752793035
414,19,-0.34724647198852737,0.20963085493582242
1578,14,-0.46186224690505434,0.15799187217028124
32,297,-0.5669467961447006,0.1464128091743606
2731,17,-0.0766161206890555,0.05143872470448992
6735,5,-0.1303798258304596,0.1495409832819135
293,55,-0.2520518630065701,0.1702952033600885
3098,15,-0.11359173059463501,0.09503524791888923
63,162,-0.36357498546073463,0.2115597609540138
8,166,-0.19725975715162525,0.26076492718332533
1698,25,-0.14381469964981078,0.09286516804602876
871,27,-0.3345761059059037,0.11967422508491582
12,86,-0.16806996540101463,0.3259087637451507
4091,13,-0.03937595968063061,0.10789163640247804
3148,17,-0.07837241712738485,0.03366669308154263
5,462,-0.18303916420287641,0.18208233776885122
1682,22,-0.12973161922259765,0.19090736703144398
48,36,-0.14781465402079952,0.3211470933907608
1548,21,-0.3244680801317805,0.16991537928687836
3512,1,0.0,0.0
3286,14,-0.08969845409904208,0.03912945010200304
4834,10,-0.09444781839847564,0.06523661576272496
15539,1,-0.9181841015815735,0.0
38,214,-0.5007739011807558,0.16162829852694108
914,18,-0.2080466616898775,0.13231012696256406
24,135,-0.44942081112552573,0.21492369667844546
1198,32,-0.016894902102649212,0.030834968791857324
369,56,-0.2158443153436695,0.13957228666993657
27,141,-0.4173025395060685,0.16538817197651728
2783,6,-0.1644007737437884,0.04555740520515472
25,357,-0.30006764890725207,0.2260525876141665
1365,22,-0.1464835869317705,0.07543016877117537
275,69,-0.41067647237492644,0.1568008492652604
1012,27,-0.2725020448366801,0.20443644114929643
1892,19,-0.15443071762197896,0.2278978374159611
218,48,-0.3327233283004413,0.13359941975115341
4118,11,-0.08365915986624631,0.15193888160030627
359,34,-0.477092366446467,0.16628715082200088
1799,12,-0.3082822288076083,0.1303884647801529
107,100,-0.16254228346049784,0.17232496042050205
3185,13,-0.2676677635082832,0.14053727035043623
151,39,-0.1487096511782744,0.1729747039973713
41,247,-0.15260560944797055,0.09934403299014234
5169,9,-0.026758968830108643,0.005728339302805807
398,35,-0.20045474618673326,0.1633804027900686
640,13,-0.25100715114520145,0.2260139270365925
67,147,-0.38883193447983183,0.2186110493480956
97,55,-0.34780446392568676,0.21064497508450244
3485,15,-0.15748517513275145,0.1033777024533867
21,416,-0.507638685279884,0.1633710689519986
1680,27,-0.038926558914007967,0.05467529013245632
5102,6,-0.2543650021155675,0.064196545802141
340,44,-0.27089413661848416,0.22377337771531122
1086,23,-0.34430005368979083,0.1295574637359117
2598,19,-0.021970356373410476,0.015858499484667297
7892,4,-0.09069943428039551,0.02467916213635135
6896,5,-0.12367548644542695,0.06081810061176075
9,173,-0.4081649795777536,0.18692191800265234
270,16,-0.4912439454346895,0.13323680019968473
1741,22,-0.15784007107669656,0.08310757794498304
3947,12,-0.1440895547469457,0.08052553641831776
394,32,-0.209852933883667,0.09993225621747692
2012,20,-0.15936196148395537,0.16249410015322974
537,34,-0.21238795865107984,0.20758870790989897
2528,10,-0.3144206777215004,0.13685265204314798
44,84,-0.27570612440329223,0.19670876101672263
1516,21,-0.07981631727445693,0.15108876614193142
1230,21,-0.2017447054386139,0.10065260967489807
1303,33,-0.06066644936800003,0.0438440000089268
3466,3,-0.24992381036281586,0.047413643693224795
12236,2,-0.3439065217971802,0.11827169573463436
4,656,-0.46406329125620244,0.17067497089328126
34,222,-0.191793837123089,0.2266108751719913
161,31,-0.2866443414841929,0.1902032610054918
42,237,-0.46095155129201304,0.18212799356704387
2028,19,-0.10177168171656759,0.2023511935991726
225,47,-0.33154925830820775,0.15790552930415566
862,50,-0.0006889110803604126,2.3255325355524186e-05
5103,8,-0.09946403559297323,0.0723537176140078
420,39,-0.28385613018121475,0.19202773805258028
3366,9,0.015303583608733283,0.06263905611178297
282,68,-0.32820353580310063,0.1886957433342545
140,46,-0.5455542294227559,0.11617655427322118
101,58,-0.45090974905881387,0.17278888534900783
1985,13,-0.18281270277041656,0.09195031841888071
289,38,-0.31163127661535617,0.24651067767274643
697,14,-0.2656992610011782,0.24672888781472307
33,249,-0.4466084723012993,0.1678713046291553
11413,3,-0.11853439609209697,0.028100806113836262
1525,24,-0.14867734862491488,0.2243184963044329
12235,2,-0.2202385514974594,0.04850501956569908
4177,12,-0.041742076476415,0.07933328106700849
49,202,-0.39669661863826877,0.1879286022418015
39,137,-0.3062856080160089,0.3187242891533498
183,59,-0.39445307749812886,0.18007437889001046
3364,11,-0.16788465055552396,0.09680842793367242
4673,10,0.06918958872556687,0.05553798207302857
1762,17,-0.29031993273426504,0.11997770687767136
1234,2,-0.13320982456207275,0.0177448573598582
167,96,-0.3494714826423054,0.19212336841656721
746,33,-0.10656467847751849,0.1495691893392343
7436,4,-0.14707257971167564,0.11335685217367722
898,26,-0.3554401718653165,0.11549969094675622
4620,11,0.01361127333207564,0.10041798270840217
795,20,-0.41284682154655455,0.19931710671424513
1905,27,-0.07215651980152836,0.049350952997900925
22,257,-0.3434370233304074,0.21823069678313292
