community_id,size,sentiment_variance,sentiment_mean,frac_positive,frac_negative,polarity_balance,bimodality,semantic_cohesion,internal_density,conductance
942,23,0.05895954665406427,-0.09818260869565218,0.043478260869565216,0.21739130434782608,0.17391304347826086,0.6876490947563759,0.3114401698112488,0.1067193675889328,0.5221238938053098
984,19,0.18173441501385046,0.05108421052631579,0.21052631578947367,0.15789473684210525,0.05263157894736842,0.2969494331425369,0.22234925627708435,0.14619883040935672,0.34210526315789475
1005,33,0.046340821285583096,0.007084848484848484,0.12121212121212122,0.09090909090909091,0.030303030303030304,0.15321343792563702,0.30374324321746826,0.07575757575757576,0.3548387096774194
1036,13,0.12006419147928994,0.07870769230769231,0.3076923076923077,0.07692307692307693,0.23076923076923078,0.3295913698382855,0.24103157222270966,0.1794871794871795,0.0
1124,18,0.0623925513888889,0.03565000000000001,0.16666666666666666,0.1111111111111111,0.05555555555555555,0.300880702356097,0.3531470000743866,0.1568627450980392,0.23809523809523808
1202,29,0.021548355529131993,-0.027741379310344826,0.0,0.034482758620689655,0.034482758620689655,1.0000000000000002,0.39717039465904236,0.07142857142857142,0.41414141414141414
1301,25,0.103067537824,0.016724000000000003,0.16,0.08,0.08,0.17818622147592228,0.3163129389286041,0.09666666666666666,0.41414141414141414
1306,16,0.10384304625000002,-0.1017,0.125,0.25,0.125,0.5293324562163588,0.3175019323825836,0.16666666666666666,0.3548387096774194
1320,22,0.08850513861570249,-0.08849545454545454,0.13636363636363635,0.18181818181818182,0.04545454545454547,0.7023139965918813,0.2759602963924408,0.1038961038961039,0.42857142857142855
1337,19,0.10511231916897507,-0.02853684210526315,0.10526315789473684,0.10526315789473684,0.0,0.14824751478647463,0.30143511295318604,0.11695906432748537,0.3548387096774194
1423,15,0.1268261144888889,0.010946666666666667,0.2,0.4,0.2,0.5656577844292587,0.2821255326271057,0.13333333333333333,0.46153846153846156
1461,26,0.05563885119822486,-0.006673076923076915,0.07692307692307693,0.11538461538461539,0.038461538461538464,0.1393888692787084,0.256336510181427,0.08615384615384615,0.391304347826087
1480,6,0.19818705583333338,-0.06634999999999998,0.16666666666666666,0.5,0.33333333333333337,0.7273433403783043,0.4478360116481781,0.3333333333333333,0.3333333333333333
1523,27,0.043517901920438966,-0.08287407407407409,0.0,0.14814814814814814,0.14814814814814814,0.9076286665958557,0.1874924898147583,0.08262108262108261,0.26582278481012656
1592,16,0.0561851774609375,-0.09955625000000001,0.0,0.25,0.25,0.8977271535990395,0.2726667523384094,0.13333333333333333,0.36
1643,21,0.04103948467120181,0.07807619047619048,0.14285714285714285,0.0,0.14285714285714285,0.9038893014259181,0.2323910892009735,0.14285714285714285,0.13043478260869565
1654,19,0.0263728075900277,-0.03993684210526316,0.10526315789473684,0.10526315789473684,0.0,0.8800702256621968,0.21041689813137054,0.11695906432748537,0.16666666666666666
1743,17,0.07793302719723183,0.03275294117647059,0.11764705882352941,0.11764705882352941,0.0,0.47536549615125673,0.34403353929519653,0.15441176470588236,0.3333333333333333
1794,13,0.07097487633136096,-0.021946153846153844,0.15384615384615385,0.23076923076923078,0.07692307692307693,0.27227849907561164,0.5157746076583862,0.23076923076923078,0.28
1841,15,0.07570532222222222,-0.10356666666666667,0.13333333333333333,0.3333333333333333,0.19999999999999998,0.4683187863056567,0.42543303966522217,0.18095238095238095,0.2549019607843137
1847,18,0.16615402163580248,-0.09219444444444445,0.2222222222222222,0.3333333333333333,0.1111111111111111,0.2663719637910924,0.4100761413574219,0.17647058823529413,0.25
1857,17,0.11966490948096886,-0.11224117647058825,0.11764705882352941,0.4117647058823529,0.2941176470588235,0.23779493184783748,0.3099144995212555,0.18382352941176472,0.1935483870967742
1904,19,0.09068213673130193,-0.032089473684210536,0.21052631578947367,0.2631578947368421,0.05263157894736842,0.3706662050661847,0.2988789975643158,0.14619883040935672,0.4117647058823529
1906,19,0.11114602980609418,0.029057894736842105,0.15789473684210525,0.10526315789473684,0.05263157894736842,0.20774243526795616,0.32203736901283264,0.11695906432748537,0.3939393939393939
1915,12,0.05272683388888888,0.03423333333333333,0.16666666666666666,0.16666666666666666,0.0,0.4302969744796938,0.4745669364929199,0.22727272727272727,0.09090909090909091
1943,15,0.04946982888888888,-0.07723333333333333,0.0,0.13333333333333333,0.13333333333333333,0.9362147519453944,0.3914767801761627,0.19047619047619047,0.24528301886792453
2004,25,0.020132995583999995,0.014103999999999998,0.04,0.04,0.0,0.6491220502027104,0.17897814512252808,0.08333333333333333,0.5652173913043478
2008,20,0.05475156660000001,-0.005319999999999997,0.15,0.1,0.04999999999999999,0.1946157480946704,0.28442293405532837,0.10526315789473684,0.3333333333333333
2062,7,0.07990789387755101,-0.12625714285714287,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.9578771718795891,0.18364211916923523,0.2857142857142857,0.14285714285714285
2099,24,0.11356403331597222,-0.012079166666666669,0.08333333333333333,0.08333333333333333,0.0,0.17165434934656482,0.259622186422348,0.08695652173913043,0.5428571428571428
2126,22,0.014942425723140494,0.044013636363636366,0.13636363636363635,0.0,0.13636363636363635,0.9651535655518282,0.2337474375963211,0.1038961038961039,0.38461538461538464
2148,18,0.07506751015432099,-0.03653888888888889,0.05555555555555555,0.1111111111111111,0.05555555555555555,0.19188788561887646,0.3789345920085907,0.1503267973856209,0.2459016393442623
2227,20,0.08156351247499997,0.009394999999999997,0.15,0.2,0.05000000000000002,0.22552821537688783,0.3112603724002838,0.11578947368421053,0.42105263157894735
2234,13,0.13768018130177515,-0.002115384615384613,0.23076923076923078,0.23076923076923078,0.0,0.38538354628310556,0.3536780774593353,0.1794871794871795,0.28205128205128205
2289,16,0.09717099859375,0.048062499999999994,0.1875,0.125,0.0625,0.3519557000181317,0.3411737084388733,0.125,0.16666666666666666
2346,13,0.08894930331360945,-0.026976923076923072,0.23076923076923078,0.15384615384615385,0.07692307692307693,0.4423012644091088,0.4595745801925659,0.20512820512820512,0.23809523809523808
2348,9,0.14944048839506174,-0.012522222222222231,0.2222222222222222,0.2222222222222222,0.0,0.36136081031803047,0.38141128420829773,0.3055555555555556,0.15384615384615385
2429,19,0.07469122825484766,-0.06897368421052631,0.10526315789473684,0.21052631578947367,0.10526315789473684,0.2511620121156429,0.49480223655700684,0.11695906432748537,0.43661971830985913
